ID,UserID,SubjectID,IsPositive,AgeGroupID,GenderID,RelevantTweetsCount,ImageAnalysisGender,ImageAnalysisGenderConfidence,ImageAnalysisLowAge,ImageAnalysisHighAge,ImageAnalysisAgeConfidence,ImageAnalysisChecked
6,767,1,NULL,NULL,NULL,1,FEMALE,0.989013,18,24,0.561415,1
7,11091,1,NULL,NULL,NULL,1,MALE,0.993307,35,44,0.486143,1
8,29283,1,NULL,NULL,NULL,1,FEMALE,0,NULL,NULL,NULL,1
9,44313,1,NULL,NULL,NULL,1,MALE,0.989013,35,44,0.506266,1
10,50743,1,NULL,NULL,NULL,1,FEMALE,0,18,24,0.499717,1
11,66873,1,NULL,NULL,NULL,1,FEMALE,0,NULL,NULL,NULL,1
12,160763,1,NULL,NULL,NULL,1,FEMALE,0.989013,18,24,0.502411,1
13,192803,1,NULL,NULL,NULL,1,MALE,0.880797,35,44,0.423138,1
14,243863,1,NULL,NULL,NULL,1,FEMALE,0.982014,18,24,0.394433,1
15,381683,1,NULL,NULL,NULL,1,FEMALE,0,NULL,NULL,NULL,1
16,420193,1,NULL,NULL,NULL,1,FEMALE,0,NULL,NULL,NULL,1
17,428333,1,NULL,NULL,NULL,4,FEMALE,0,NULL,NULL,NULL,1
18,458173,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1
19,557563,1,NULL,NULL,NULL,1,FEMALE,0,NULL,NULL,NULL,1
20,643143,1,NULL,NULL,NULL,1,MALE,0.982014,35,44,0.506266,1
21,675883,1,NULL,NULL,NULL,1,FEMALE,0,18,24,0.503636,1
22,681473,1,NULL,NULL,NULL,1,MALE,0.993307,35,44,0.473476,1
23,690823,1,NULL,NULL,NULL,1,FEMALE,0,35,44,0.384208,1
24,716813,1,NULL,NULL,NULL,1,FEMALE,0,35,44,0.408459,1
25,742143,1,NULL,NULL,NULL,1,FEMALE,0,NULL,NULL,NULL,1
26,749963,1,NULL,NULL,NULL,1,MALE,0.993307,35,44,0.403753,1
27,755113,1,NULL,NULL,NULL,4,MALE,0.993307,35,44,0.515143,1
28,759249,1,NULL,NULL,NULL,1,MALE,0.982014,35,44,0.503931,1
29,759251,1,NULL,NULL,1,24,FEMALE,0,NULL,NULL,NULL,1
30,768142,1,NULL,NULL,NULL,1,FEMALE,0,NULL,NULL,NULL,1
31,769594,1,NULL,NULL,NULL,1,FEMALE,0,18,24,0.339887,1
32,783214,1,NULL,NULL,NULL,1,FEMALE,0,NULL,NULL,NULL,1
33,796155,1,NULL,NULL,NULL,1,FEMALE,0.982014,NULL,17,0.953822,1
34,807095,1,NULL,NULL,1,29,FEMALE,0,NULL,NULL,NULL,1
35,807594,1,NULL,NULL,NULL,1,FEMALE,0,18,24,0.5216,1
36,817645,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1
37,817652,1,NULL,NULL,NULL,1,FEMALE,0,NULL,NULL,NULL,1
38,820694,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1
39,823525,1,NULL,NULL,NULL,1,FEMALE,0,NULL,NULL,NULL,1
40,823748,1,NULL,NULL,NULL,1,FEMALE,0,NULL,NULL,NULL,1
41,936881,1,NULL,NULL,NULL,1,MALE,0.993307,55,64,0.447907,1
42,971661,1,NULL,NULL,NULL,2,FEMALE,0,NULL,NULL,NULL,1
43,972651,1,NULL,NULL,NULL,3,FEMALE,0,NULL,NULL,NULL,1
44,980611,1,NULL,NULL,NULL,1,FEMALE,0.377541,55,64,0.328837,1
45,1067061,1,NULL,NULL,NULL,1,FEMALE,0,NULL,NULL,NULL,1
