ID,UserID,SubjectID,IsPositive,AgeGroupID,GenderID,RelevantTweetsCount,ImageAnalysisGender,ImageAnalysisGenderConfidence,ImageAnalysisLowAge,ImageAnalysisHighAge,ImageAnalysisAgeConfidence,ImageAnalysisChecked
6,767,1,0.342,2,2,1,Male,0.788,42,45,0.649,1
7,11091,1,-0.64,4,1,1,Male,0.354,22,42,0.243,1
8,29283,1,-0.02,4,1,1,Female,0.969,13,16,0.671,1
9,44313,1,-0.032,4,1,1,Male,0.593,26,45,0.888,1
10,50743,1,0.026,2,2,1,Male,0.215,52,72,0.621,1
11,66873,1,-0.885,1,2,1,Female,0.5,59,63,0.463,1
12,160763,1,0.328,1,1,1,Male,0.662,52,65,0.815,1
13,192803,1,-0.002,3,1,1,Female,0.954,51,67,0.124,1
14,243863,1,0.75,3,2,1,Female,0.757,43,63,0.228,1
15,381683,1,-0.311,4,2,1,Female,0.565,42,46,0.932,1
16,420193,1,-0.688,1,1,1,Male,0.86,27,43,0.883,1
17,428333,1,0.877,4,1,4,Female,0.673,44,50,0.717,1
18,458173,1,0.391,1,2,1,Male,0.803,50,51,0.797,1
19,557563,1,-0.475,3,2,1,Male,0.651,14,31,0.766,1
20,643143,1,-0.92,3,1,1,Female,0.75,65,81,0.862,1
21,675883,1,0.795,1,2,1,Female,0.731,36,42,0.647,1
22,681473,1,0.856,4,2,1,Male,0.303,64,77,0.381,1
23,690823,1,0.968,4,2,1,Female,0.26,27,39,0.105,1
24,716813,1,-0.739,3,2,1,Male,0.73,43,47,0.852,1
25,742143,1,-0.379,1,1,1,Female,0.628,12,28,0.298,1
26,749963,1,-0.912,1,1,1,Male,0.76,35,51,0.215,1
27,755113,1,-0.181,4,1,4,Female,0.474,40,46,0.591,1
28,759249,1,-0.028,4,1,1,Male,0.481,46,58,0.821,1
29,759251,1,-0.584,4,2,24,Male,0.642,46,57,0.982,1
30,768142,1,0.367,3,1,1,Female,0.808,59,68,0.845,1
31,769594,1,0.03,4,1,1,Female,0.866,37,45,0.088,1
32,783214,1,-0.187,3,1,1,Male,0.09,58,66,0.152,1
33,796155,1,-0.073,2,2,1,Female,0.594,58,67,0.637,1
34,807095,1,-0.534,2,1,29,Female,0.49,21,37,0.131,1
35,807594,1,0.218,4,2,1,Female,0.7,12,17,0.984,1
36,817645,1,0.422,1,2,1,Female,0.795,64,82,0.168,1
37,817652,1,1,2,2,1,Male,0.963,35,48,0.943,1
38,820694,1,-0.484,3,1,1,Male,0.131,42,62,0.018,1
39,823525,1,-0.25,1,2,1,Male,0.409,12,14,0.995,1
40,823748,1,0.513,2,1,1,Male,0.145,45,53,0.24,1
41,936881,1,0.813,2,2,1,Female,0.311,45,56,0.495,1
42,971661,1,-0.721,2,2,2,Female,0.474,47,56,0.704,1
43,972651,1,-0.861,3,1,3,Female,0.538,57,75,0.369,1
44,980611,1,0.387,4,2,1,Male,0.663,56,60,0.773,1
45,1067061,1,-0.745,3,1,1,Female,0.778,57,71,0.421,1
46,1106501,1,-0.264,4,2,2,Female,0.448,46,64,0.733,1
47,1367531,1,0.657,2,1,10,Male,0.672,53,56,0.687,1
48,1394221,1,0.824,2,1,1,Female,0.653,39,51,0.099,1
49,1401481,1,-0.346,1,1,1,Male,0.267,50,51,0.407,1
50,1449701,1,0.756,3,2,1,Female,0.453,38,42,0.205,1
51,1495091,1,-0.312,3,1,1,Male,0.616,26,38,0.195,1
52,1586501,1,-0.961,4,2,1,Female,0.503,59,73,0.103,1
53,1652541,1,0.911,4,1,2,Female,0.913,60,69,0.009,1
54,1662891,1,0.158,4,2,1,Male,0.092,47,54,0.301,1
55,1782991,1,0.379,4,1,1,Female,0.396,55,74,0.655,1
56,1819261,1,0.574,1,2,3,Female,0.593,12,28,0.943,1
57,1912101,1,-0.499,2,2,1,Female,0.216,64,79,0.837,1
58,1917731,1,-0.675,4,2,11,Female,0.98,14,18,0.594,1
59,1947301,1,0.576,2,2,1,Male,0.826,64,82,0.836,1
60,1966071,1,-0.317,1,2,2,Male,0.363,13,28,0.867,1
61,1968931,1,-0.426,2,2,1,Male,0.177,16,34,0.504,1
62,1982321,1,0.076,3,2,2,Female,0.866,17,35,0.508,1
63,1994321,1,0.872,4,2,2,Male,0.374,65,82,0.412,1
64,2030711,1,-0.629,3,2,1,Female,0.215,57,74,0.794,1
