ID,DOGTYPE,Damount,age,trip
1,PIT BULL,1506,2.2,stary field
2,LABRADOR RETR,1488,2.2,STRAY OTC
3,CHIHUAHUA SH,1015,2.2,STRAY OTC
4,GERM SHEPHERD,743,2,stary field
5,AUST CATTLE DOG,352,2,STRAY OTC
6,DACHSHUND,343,3.2,STRAY OTC
7,BORDER COLLIE,311,2.3,stary field
8,BOXER,277,2.2,STRAY OTC
9,AUST SHEPHERD,205,2.2,STRAY OTC
10,CATAHOULA,182,1.3,STRAY OTC
11,ROTTWEILER,182,3.2,STRAY OTC
12,BEAGLE,174,3.3,stary field
13,POODLE MIN,154,3.3,stary field
14,RAT TERRIER,147,3.5,stary field
15,AMER BULLDOG,137,3.3,STRAY OTC
16,JACK RUSS TERR,132,3.5,stary field
17,CHOW CHOW,123,3.6,STRAY OTC
18,CHIHUAHUA LH,119,3.8,stary field
19,STAFFORDSHIRE,118,3.3,STRAY OTC
20,SCHNAUZER MIN,114,3.1,STRAY OTC
